ObservationDate,day_of_year,Confirmed,Recovered,Deaths
2020-01-22,22,555,28,17
2020-01-23,23,653,30,18
2020-01-24,24,941,36,26
2020-01-25,25,1438,39,42
2020-01-26,26,2118,52,56
2020-01-27,27,2927,61,82
2020-01-28,28,5578,107,131
2020-01-29,29,6165,126,133
2020-01-30,30,8235,143,171
2020-01-31,31,9925,222,213
2020-02-01,32,12038,284,259
2020-02-02,33,16787,472,362
2020-02-03,34,19881,623,426
2020-02-04,35,23892,852,492
2020-02-05,36,27636,1124,564
2020-02-06,37,30818,1487,634
2020-02-07,38,34392,2011,719
2020-02-08,39,37121,2616,806
2020-02-09,40,40151,3244,906
2020-02-10,41,42763,3946,1013
2020-02-11,42,44803,4683,1113
2020-02-12,43,45222,5150,1118
2020-02-13,44,60370,6295,1371
2020-02-14,45,66887,8058,1523
2020-02-15,46,69032,9395,1666
2020-02-16,47,71226,10865,1770
2020-02-17,48,73260,12583,1868
2020-02-18,49,75138,14352,2007
2020-02-19,50,75641,16121,2122
2020-02-20,51,76199,18177,2247
2020-02-21,52,76843,18890,2251
2020-02-22,53,78599,22886,2458
2020-02-23,54,78985,23394,2469
2020-02-24,55,79570,25227,2629
2020-02-25,56,80415,27905,2708
2020-02-26,57,81397,30384,2770
2020-02-27,58,82756,33277,2814
2020-02-28,59,84124,36711,2872
2020-02-29,60,86013,39782,2941
2020-03-01,61,88371,42716,2996
2020-03-02,62,90309,45602,3085
2020-03-03,63,92844,48229,3160
2020-03-04,64,95124,51171,3254
2020-03-05,65,97886,53797,3348
2020-03-06,66,101800,55866,3460
2020-03-07,67,105836,58359,3558
2020-03-08,68,109835,60695,3803
2020-03-09,69,113582,62512,3996
2020-03-10,70,118582,64404,4262
2020-03-11,71,125865,67003,4615
2020-03-12,72,128343,68324,4720
2020-03-13,73,145193,70251,5404
2020-03-14,74,156099,72624,5819
2020-03-15,75,167447,76034,6440
2020-03-16,76,181546,78088,7126
2020-03-17,77,197168,80840,7905
2020-03-18,78,214915,83313,8733
2020-03-19,79,242713,84962,9867
2020-03-20,80,272167,87403,11299
2020-03-21,81,304528,91676,12973
2020-03-22,82,337020,97243,14623
2020-03-23,83,378287,100958,16497
2020-03-24,84,417966,107705,18615
2020-03-25,85,467594,113770,21181
2020-03-26,86,529591,122150,23970
2020-03-27,87,593291,130915,27198
2020-03-28,88,660706,139415,30652
2020-03-29,89,720117,149082,33925
2020-03-30,90,782365,164566,37582
